Social_issue,Republican,Democratic,N_Rep,N_Dem,Difference,Absolute_difference,Euclidean_distance
Abortion,0.15131086142322098,0.7539353769676885,1335,1207,-0.6026245155444676,0.6026245155444676,4.737671852111816
Affirmative Action,0.17852975495915985,0.6008174386920981,857,734,-0.4222876837329383,0.4222876837329383,1.8995083570480347
Animal Rights,0.6446700507614214,0.9378980891719745,591,628,-0.2932280384105531,0.2932280384105531,2.6708221435546875
Barack Obama,0.041719342604298354,0.9614197530864198,791,648,-0.9197004104821215,0.9197004104821215,3.5570943355560303
Border Fence,0.8430182133564614,0.3096976016684046,1153,959,0.5333206116880569,0.5333206116880569,2.9461753368377686
Capitalism,0.9331476323119777,0.6857142857142857,718,455,0.247433346597692,0.247433346597692,2.2205898761749268
Civil Unions,0.48753117206982544,0.8505214368482039,802,863,-0.3629902647783785,0.3629902647783785,3.0157158374786377
Death Penalty,0.7586471944657955,0.3336199484092863,1301,1163,0.4250272460565092,0.4250272460565092,2.056678295135498
Drug Legalization,0.2786885245901639,0.5565949485500468,1220,1069,-0.27790642395988285,0.27790642395988285,2.981309413909912
Electoral College,0.6003316749585407,0.3132780082987552,603,482,0.2870536666597855,0.2870536666597855,1.8974305391311646
Environmental Protection,0.6793814432989691,0.9682259488084731,970,1133,-0.288844505509504,0.288844505509504,2.8736796379089355
Estate Tax,0.19463087248322147,0.5661218424962853,745,673,-0.3714909700130638,0.3714909700130638,2.739764928817749
European Union,0.3615819209039548,0.888235294117647,354,340,-0.5266533732136922,0.5266533732136922,2.862882614135742
Euthanasia,0.3945371775417299,0.7824726134585289,659,639,-0.387935435916799,0.387935435916799,4.73043966293335
Federal Reserve,0.4839650145772595,0.8,343,255,-0.31603498542274056,0.31603498542274056,1.857456088066101
Flat Tax,0.6794701986754967,0.2552552552552553,755,666,0.42421494342024146,0.42421494342024146,2.139073371887207
Free Trade,0.8657844990548205,0.7983425414364641,529,362,0.06744195761835636,0.06744195761835636,0.8657843470573425
Gay Marriage,0.30633802816901406,0.8946474086661003,1136,1177,-0.5883093804970863,0.5883093804970863,5.556221961975098
Global Warming Exists,0.38425047438330173,0.9292114695340502,1054,1116,-0.5449609951507485,0.5449609951507485,3.965853691101074
Globalization,0.5292553191489362,0.8696969696969697,376,330,-0.34044165054803355,0.34044165054803355,1.9789320230484009
Gold Standard,0.6875,0.35094339622641507,320,265,0.33655660377358493,0.33655660377358493,2.7578608989715576
Gun Rights,0.932,0.4517766497461929,1250,985,0.48022335025380714,0.48022335025380714,2.2055840492248535
Homeschooling,0.774597495527728,0.5606796116504854,559,412,0.21391788387724264,0.21391788387724264,1.803521990776062
Internet Censorship,0.17313915857605178,0.13857677902621723,618,534,0.03456237954983454,0.03456237954983454,1.7437708377838135
Iran-Iraq War,0.5638297872340425,0.06512605042016807,846,952,0.4987037368138745,0.4987037368138745,3.4611692428588867
Labor Union,0.4021304926764314,0.9075949367088607,751,790,-0.5054644440324293,0.5054644440324293,3.0739691257476807
Legalized Prostitution,0.28429752066115704,0.5711111111111111,605,450,-0.2868135904499541,0.2868135904499541,3.4545021057128906
Medicaid & Medicare,0.45072115384615385,0.934020618556701,832,970,-0.4832994647105472,0.4832994647105472,3.13562273979187
Medical Marijuana,0.5581395348837209,0.8392007611798288,1075,1051,-0.28106122629610786,0.28106122629610786,3.2721545696258545
Military Intervention,0.7351694915254238,0.35,472,360,0.3851694915254238,0.3851694915254238,2.0050528049468994
Minimum Wage,0.5565843621399177,0.8975124378109453,972,1005,-0.34092807567102756,0.34092807567102756,2.025289535522461
National Health Care,0.21155830753353974,0.9483282674772037,969,987,-0.7367699599436639,0.7367699599436639,3.6831512451171875
National Retail Sales Tax,0.41348973607038125,0.5517241379310345,682,580,-0.13823440186065322,0.13823440186065322,1.2936841249465942
Occupy Movement,0.08469945355191257,0.7450980392156863,366,255,-0.6603985856637737,0.6603985856637737,3.4465298652648926
Progressive Tax,0.19584569732937684,0.8093699515347335,674,619,-0.6135242542053566,0.6135242542053566,3.604475498199463
Racial Profiling,0.4471635150166852,0.16500553709856036,899,903,0.28215797791812486,0.28215797791812486,2.198782205581665
Redistribution,0.10462287104622871,0.7072072072072072,411,222,-0.6025843361609785,0.6025843361609785,3.5212199687957764
Smoking Ban,0.5305343511450382,0.5989361702127659,1048,940,-0.06840181906772769,0.06840181906772769,0.45204246044158936
Social Programs,0.453804347826087,0.9714625445897741,736,841,-0.5176581967636871,0.5176581967636871,3.44836163520813
Social Security,0.5986316989737742,0.9383116883116883,877,924,-0.3396799893379141,0.3396799893379141,2.3037302494049072
Socialism,0.0467741935483871,0.6685393258426966,620,356,-0.6217651322943095,0.6217651322943095,3.5634639263153076
Stimulus Spending,0.19883040935672514,0.8,342,245,-0.6011695906432749,0.6011695906432749,2.551921844482422
Term Limits,0.8027571580063627,0.7861409796893668,943,837,0.01661617831699591,0.01661617831699591,0.6361806392669678
Torture,0.45990180032733224,0.09608540925266904,611,562,0.36381639107466324,0.36381639107466324,1.9806729555130005
United Nations,0.6362660944206009,0.9265593561368209,932,994,-0.29029326171622005,0.29029326171622005,2.4415478706359863
War in Afghanistan,0.6891464699683878,0.24390243902439024,949,984,0.44524403094399756,0.44524403094399756,2.1504786014556885
War on Terror,0.8339449541284404,0.3961864406779661,1090,944,0.4377585134504743,0.4377585134504743,2.4946110248565674
Welfare,0.24578059071729957,0.9007551240560949,948,927,-0.6549745333387953,0.6549745333387953,3.148876190185547
